state_number,state_name,consecutive_number,number_of_vehicle_forms_submitted_all,number_of_motor_vehicles_in_transport_mvit,number_of_parked_working_vehicles,number_of_forms_submitted_for_persons_not_in_motor_vehicles,number_of_persons_not_in_motor_vehicles_in_transport_mvit,number_of_persons_in_motor_vehicles_in_transport_mvit,number_of_forms_submitted_for_persons_in_motor_vehicles,county,city,day_of_crash,month_of_crash,year_of_crash,day_of_week,hour_of_crash,minute_of_crash,national_highway_system,land_use,land_use_name,functional_system,functional_system_name,ownership,ownership_name,route_signing,route_signing_name,trafficway_identifier,trafficway_identifier_2,milepoint,latitude,longitude,special_jurisdiction,special_jurisdiction_name,first_harmful_event,first_harmful_event_name,manner_of_collision,manner_of_collision_name,relation_to_junction_within_interchange_area,relation_to_junction_specific_location,relation_to_junction_specific_location_name,type_of_intersection,work_zone,relation_to_trafficway,relation_to_trafficway_name,light_condition,light_condition_name,atmospheric_conditions_1,atmospheric_conditions_1_name,atmospheric_conditions_2,atmospheric_conditions_2_name,atmospheric_conditions,atmospheric_conditions_name,school_bus_related,rail_grade_crossing_identifier,hour_of_notification,minute_of_notification,hour_of_arrival_at_scene,minute_of_arrival_at_scene,hour_of_ems_arrival_at_hospital,minute_of_ems_arrival_at_hospital,related_factors_crash_level_1,related_factors_crash_level_1_name,related_factors_crash_level_2,related_factors_crash_level_2_name,related_factors_crash_level_3,related_factors_crash_level_3_name,number_of_fatalities,number_of_drunk_drivers,timestamp_of_crash,waktu_kategori,tipe_hari,nama_hari
30,Montana,300019,5,5,0,0,0,7,7,111,0,28,3,2015,7,14,58,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-90 W,,4318,45.65930833,-108.81318056,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,6,Severe Crosswinds,7,"Blowing Sand, Soil, Dirt",6,Severe Crosswinds,No,0000000,15,30,15,50,16,45,0,None,0,None,0,None,1,0,2015-03-28 14:58:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
39,Ohio,390099,7,7,0,0,0,15,15,171,0,14,2,2015,7,11,19,1,1,Rural,1,Interstate,31,State Toll Road,1,Interstate,I-80,,154,41.60843056,-84.50735278,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,11,45,12,0,12,24,27,Backup Due to Prior Crash,0,None,0,None,1,0,2015-02-14 11:19:00+00:00,Pagi (06-11),Akhir Pekan,Sabtu
49,Utah,490123,16,16,0,0,0,28,28,45,0,14,4,2015,3,12,24,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-80,,684,40.75131944,-112.70495,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,12,28,12,52,99,99,0,None,0,None,0,None,1,0,2015-04-14 12:24:00+00:00,Siang (12-17),Hari Kerja,Selasa
48,Texas,481184,6,5,1,0,5,5,10,65,0,27,5,2015,4,16,40,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-40,,189,35.20758056,-101.30081111,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-05-27 16:40:00+00:00,Siang (12-17),Hari Kerja,Rabu
41,Oregon,410333,11,11,0,0,0,14,14,59,0,17,11,2015,3,18,17,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-84,,1910,45.75349167,-119.15018611,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,2,Dark – Not Lighted,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,1,0,2015-11-17 18:17:00+00:00,Malam (18-23),Hari Kerja,Selasa
39,Ohio,390088,8,8,0,0,0,13,13,43,0,14,2,2015,7,11,30,1,1,Rural,1,Interstate,31,State Toll Road,1,Interstate,I-80,,185,41.32906111,-82.49277778,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,7,Sideswipe – Same Direction,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,7,"Blowing Sand, Soil, Dirt",0,No Additional Atmospheric Conditions,7,"Blowing Sand, Soil, Dirt",No,0000000,12,20,12,38,14,11,0,None,0,None,0,None,1,0,2015-02-14 11:30:00+00:00,Pagi (06-11),Akhir Pekan,Sabtu
39,Ohio,390096,31,31,0,0,0,49,49,117,0,14,2,2015,7,14,20,1,1,Rural,1,Interstate,1,State Highway Agency,1,Interstate,I-71,,18,40.37308056,-82.83103889,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,Yes,5,Entrance/Exit Ramp Related,Not an Intersection,None,1,On Roadway,1,Daylight,11,Blowing Snow,7,"Blowing Sand, Soil, Dirt",11,Blowing Snow,No,0000000,14,25,15,0,15,47,0,None,0,None,0,None,1,0,2015-02-14 14:20:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
42,Pennsylvania,420702,9,9,0,0,0,14,14,45,0,18,1,2015,1,7,30,1,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-476,,96,39.99123056,-75.34449444,0,No Special Jurisdiction (Includes National Forests Since 2008),25,Concrete Traffic Barrier,0,"Not Collision with Motor Vehicle in Transport (Not Necessarily in Transport for
2005-2009)",No,1,Non-Junction,Not an Intersection,None,3,On Median,1,Daylight,10,Cloudy,12,Freezing Rain or Drizzle,12,Freezing Rain or Drizzle,No,0000000,99,99,99,99,99,99,0,None,0,None,0,None,2,0,2015-01-18 07:30:00+00:00,Pagi (06-11),Akhir Pekan,Minggu
39,Ohio,390126,29,29,0,0,0,50,50,97,0,14,2,2015,7,14,22,1,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-70,,124,39.96629167,-83.29733889,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,1,Front-to-Rear,No,1,Non-Junction,Not an Intersection,None,1,On Roadway,1,Daylight,11,Blowing Snow,0,No Additional Atmospheric Conditions,11,Blowing Snow,No,0000000,14,38,15,0,15,43,14,"Motor Vehicle (In Transport 1983-2004) Struck By Falling Cargo or
Something That Came Loose From or Something That Was Set in Motion By
a Vehicle
(Since 1983)",0,None,0,None,1,0,2015-02-14 14:22:00+00:00,Siang (12-17),Akhir Pekan,Sabtu
34,New Jersey,340244,19,19,0,0,0,24,24,23,704,9,2,2015,2,21,11,1,2,Urban,1,Interstate,1,State Highway Agency,1,Interstate,I-95,,260,40.34153056,-74.47778056,0,No Special Jurisdiction (Includes National Forests Since 2008),12,Motor Vehicle in Transport,7,Sideswipe – Same Direction,No,1,Non-Junction,Not an Intersection,None,2,On Shoulder,2,Dark – Not Lighted,3,"Sleet, Hail",12,Freezing Rain or Drizzle,3,"Sleet, Hail",No,0000000,21,22,21,41,22,3,0,None,0,None,0,None,1,0,2015-02-09 21:11:00+00:00,Malam (18-23),Hari Kerja,Senin
